Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Sep 2025,HTI,11214615,Nippes,Nippes HT01,current,2025-09-01,2026-02-28,all,218984,1.0
Sep 2025,HTI,11214615,Nippes,Nippes HT01,current,2025-09-01,2026-02-28,3+,120442,0.55
Sep 2025,HTI,11214615,Nippes,Nippes HT01,current,2025-09-01,2026-02-28,1,43797,0.2
Sep 2025,HTI,11214615,Nippes,Nippes HT01,current,2025-09-01,2026-02-28,2,54746,0.25
Sep 2025,HTI,11214615,Nippes,Nippes HT01,current,2025-09-01,2026-02-28,3,87594,0.4
Sep 2025,HTI,11214615,Nippes,Nippes HT01,current,2025-09-01,2026-02-28,4,32848,0.15
Sep 2025,HTI,11214615,Nippes,Nippes HT01,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Nippes,Nippes HT01,first projection,2026-03-01,2026-07-31,all,218984,1.0
Sep 2025,HTI,11214615,Nippes,Nippes HT01,first projection,2026-03-01,2026-07-31,3+,120442,0.55
Sep 2025,HTI,11214615,Nippes,Nippes HT01,first projection,2026-03-01,2026-07-31,1,43797,0.2
Sep 2025,HTI,11214615,Nippes,Nippes HT01,first projection,2026-03-01,2026-07-31,2,54746,0.25
Sep 2025,HTI,11214615,Nippes,Nippes HT01,first projection,2026-03-01,2026-07-31,3,87594,0.4
Sep 2025,HTI,11214615,Nippes,Nippes HT01,first projection,2026-03-01,2026-07-31,4,32848,0.15
Sep 2025,HTI,11214615,Nippes,Nippes HT01,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,current,2025-09-01,2026-02-28,all,210650,1.0
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,current,2025-09-01,2026-02-28,3+,105326,0.5
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,current,2025-09-01,2026-02-28,1,52663,0.25
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,current,2025-09-01,2026-02-28,2,52663,0.25
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,current,2025-09-01,2026-02-28,3,73728,0.35
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,current,2025-09-01,2026-02-28,4,31598,0.15
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,first projection,2026-03-01,2026-07-31,all,210650,1.0
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,first projection,2026-03-01,2026-07-31,3+,105326,0.5
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,first projection,2026-03-01,2026-07-31,1,52663,0.25
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,first projection,2026-03-01,2026-07-31,2,52663,0.25
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,first projection,2026-03-01,2026-07-31,3,73728,0.35
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,first projection,2026-03-01,2026-07-31,4,31598,0.15
Sep 2025,HTI,11214615,Nippes,Nippes HT07 + HT08,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,current,2025-09-01,2026-02-28,all,446241,1.0
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,current,2025-09-01,2026-02-28,3+,245432,0.55
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,current,2025-09-01,2026-02-28,1,89248,0.2
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,current,2025-09-01,2026-02-28,2,111560,0.25
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,current,2025-09-01,2026-02-28,3,156184,0.35
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,current,2025-09-01,2026-02-28,4,89248,0.2
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,first projection,2026-03-01,2026-07-31,all,446241,1.0
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,first projection,2026-03-01,2026-07-31,3+,245432,0.55
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,first projection,2026-03-01,2026-07-31,1,89248,0.2
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,first projection,2026-03-01,2026-07-31,2,111560,0.25
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,first projection,2026-03-01,2026-07-31,3,156184,0.35
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,first projection,2026-03-01,2026-07-31,4,89248,0.2
Sep 2025,HTI,11214615,Artibonite,Artibonite HT04,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,current,2025-09-01,2026-02-28,all,458888,1.0
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,current,2025-09-01,2026-02-28,3+,229444,0.5
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,current,2025-09-01,2026-02-28,1,91778,0.2
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,current,2025-09-01,2026-02-28,2,137666,0.3
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,current,2025-09-01,2026-02-28,3,137666,0.3
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,current,2025-09-01,2026-02-28,4,91778,0.2
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,current,2025-09-01,2026-02-28,5,0,0
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,first projection,2026-03-01,2026-07-31,all,458888,1.0
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,first projection,2026-03-01,2026-07-31,3+,252389,0.55
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,first projection,2026-03-01,2026-07-31,1,91778,0.2
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,first projection,2026-03-01,2026-07-31,2,114722,0.25
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,first projection,2026-03-01,2026-07-31,3,160611,0.35
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,first projection,2026-03-01,2026-07-31,4,91778,0.2
Sep 2025,HTI,11214615,Artibonite,Artibonite HT03,first projection,2026-03-01,2026-07-31,5,0,0
Sep 2025,HTI,11214615,Artibonite,Ville des Gonaives,current,2025-09-01,2026-02-28,all,240744,1.0
